Portfolio,Confidence Level (%),Historical VaR (%),Historical ES (%),Gaussian VaR (%),Gaussian ES (%),Monte Carlo VaR (%),Monte Carlo ES (%),Annual Return (%),Annual Volatility (%),Sharpe Ratio,Max Drawdown (%),Observations
Minimum Variance,99.0000,1.5400,2.1059,-1.4318,-1.6362,1.3849,1.5924,6.9906,9.5749,0.7537,-25.7858,2938
Risk Parity,99.0000,1.7565,2.6041,-1.6243,-1.8558,1.5665,1.8016,8.5061,10.8466,0.8070,-26.5744,2938
